job_slot_id,job_id,company_id,job_type,working_hours_type,working_hours_normalised,normalized_city,location_normalised,job_type_id,total_credit_used,redeemed_at,expires_at,deactivated_at,gold_application_count,application_sent_count,normalised_planned_hires
82072,2601638,4260,installer,full_time,Fulltime,Langenselbold,Urban,275,1000,,,,3,3,1
82099,25297778,101128,sales,full_time,Fulltime,Markt Schwaben,Urban,128,1000,,,,8,26,1
81998,13900609,4668,professional_driver,full_time,Fulltime,Coesfeld,Urban,166,1000,,,,9,28,1
82130,25300392,193848,professional_driver,full_time,Fulltime,Kerpen,Urban,166,1000,,,,0,24,1
82057,11023857,4105,sales_clerk,part_time,Parttime,Amtzell,Urban,2,500,,,,1,36,1
82015,25295448,522215,clerk,full_time,Fulltime,Rellingen,Urban,67,1300,,,,14,15,1
82107,25299966,130543,sales,full_time,Fulltime,Herne,Large city,128,1300,,,,14,8,1
81986,21148825,521530,it_administrator,full_time,Fulltime,Gera,Urban,148,1300,,,,14,29,1
82112,25299969,223977,mechatronics_engineer,full_time,Fulltime,Minden,Urban,279,1300,,,,5,12,1
82028,24193721,252813,callcenter_agent,full_time_part_time,Fulltime,Wittenberge,Rural,64,1300,,,,13,38,1
82003,18459646,223830,installer,full_time,Fulltime,Mannheim,Large city,275,1300,,,,9,16,1
82004,19312950,223830,installer,full_time,Fulltime,Hofheim,Urban,275,1300,,,,7,32,1
82005,25296918,223830,installer,full_time,Fulltime,Kiel,Large city,275,1300,,,,9,7,1
82061,25299645,101128,account_manager,full_time,Fulltime,Schwäbisch Hall,Densification,150,1300,,,,0,30,1
82068,53053,3950,professional_driver,full_time,Fulltime,Lippstadt,Urban,166,1300,,,,6,7,1
82091,22486023,84543,facility_manager,full_time,Fulltime,Würzburg,Large city,82,1300,,,,14,15,1
81724,25202628,3012,retail_salesman,full_time,Fulltime,Würzburg,Large city,126,800,,,,11,16,1
81871,25202959,3012,retail_salesman,full_time,Fulltime,Zellingen,Rural,126,800,,,,11,7,1
81869,25203036,3012,retail_salesman,full_time,Fulltime,Gemünden,Rural,126,800,,,,12,24,1
81868,25204430,3012,retail_salesman,full_time,Fulltime,Würzburg,Large city,126,800,,,,12,15,1
81733,25205395,3012,retail_salesman,full_time,Fulltime,Zellingen,Rural,126,800,,,,11,21,1
81997,19085902,508306,inventory_manager,full_time,Fulltime,Fürstenfeldbruck,Urban,16,800,,,,12,8,1
82023,42300,3340,production_worker,full_time,Fulltime,Schwäbisch Gmünd,Urban,161,800,,,,8,36,1
82052,25299548,581072,sales_clerk,full_time,Fulltime,Beckum,Urban,2,800,,,,8,39,1
82053,25299561,581072,sales_agent,full_time,Fulltime,Warendorf,Urban,45,800,,,,0,25,1
82090,25299821,588329,it_administrator,full_time,Fulltime,Erlangen,Large city,148,1600,,,,2,16,1
82106,25299967,3602,customer_support,full_time,Fulltime,Planegg,Urban,14,800,,,,15,20,1
82141,25299961,626101,team_leader,full_time,Fulltime,Bergkamen,Urban,151,1600,,,,10,39,1
82102,20287616,202342,delivery_driver,full_time,Fulltime,Leipheim,Densification,15,800,,,,5,37,1
82085,11704254,4260,clerk,full_time,Fulltime,Langenselbold,Urban,67,800,,,,3,30,1
81881,25260824,40129,track_builder,full_time,Fulltime,Neustrelitz,Rural,264,800,,,,0,28,1
81880,25260825,40129,mechatronics_engineer,full_time,Fulltime,Anklam,Rural,279,800,,,,1,30,1
82098,25299959,2647,security,full_time,Fulltime,Stuttgart,Large city,51,800,,,,3,16,1
82044,25210555,682606,engineer,full_time,Fulltime,Elsdorf,Urban,277,1600,,,,14,5,1
82038,25290819,529248,receptionist,part_time,Parttime,Berlin,Large city,31,800,,,,9,30,1
82118,25266802,193848,inventory_manager,full_time,Fulltime,Riegel,Urban,16,800,,,,7,15,1
82126,25300396,193848,inventory_manager,full_time,Fulltime,Kerpen,Urban,16,800,,,,12,38,1
81994,19375882,126486,security,full_time_part_time,Fulltime,Mainz,Large city,51,800,,,,15,27,1
82037,22698389,2324,sales_agent,full_time_part_time,Fulltime,Rostock,Rural,45,800,,,,8,32,1
82033,19577304,3470,messenger,full_time,Fulltime,Wilnsdorf,Urban,100,800,,,,3,13,1
82013,25197552,251440,messenger,full_time,Fulltime,Oldenburg,Large city,100,1900,,,,0,24,1
82002,23599573,2584,branch_manager,full_time,Fulltime,Freiburg,Large city,35,1100,,,,12,17,1
81983,21129772,354940,inventory_manager,full_time,Fulltime,Coburg,Densification,16,1100,,,,5,39,1
81932,25198863,190174,delivery_driver,full_time,Fulltime,Westerstede,Urban,15,1100,,,,15,20,1
81931,25199595,190174,delivery_driver,full_time,Fulltime,Ostrhauderfehn,Densification,15,1100,,,,12,31,1
82012,25197452,251440,inventory_manager,part_time,Parttime,Bremen,Large city,16,2200,,,,1,6,1
82014,25201752,251440,messenger,full_time,Fulltime,Papenburg,Rural,100,1100,,,,13,29,1
82018,25205896,251440,delivery_driver,full_time,Fulltime,Emden,Densification,15,1100,,,,12,8,1
82019,25206528,251440,delivery_driver,full_time,Fulltime,Varel,Urban,15,1100,,,,10,28,1
82045,25167054,682606,shift_supervisor,full_time,Fulltime,Elsdorf,Urban,33,1100,,,,10,28,1
82134,20216017,354465,customer_support,full_time,Fulltime,Offenbach,Large city,14,1100,,,,1,29,1
81173,20668051,574364,customer_support,full_time_part_time,Fulltime,Krefeld,Large city,14,1400,,,,0,37,1
81984,8126181,129885,security,full_time,Fulltime,Leipzig,Large city,51,1400,,,,12,26,1
81987,18303169,521549,callcenter_agent,full_time_part_time,Fulltime,Bremen,Large city,64,1400,,,,13,35,1
81999,24962229,189297,messenger,full_time,Fulltime,Flensburg,Rural,100,1400,,,,0,9,1
82000,23461282,251439,mechatronics_engineer,full_time,Fulltime,Speyer,Urban,279,1400,,,,5,30,1
82016,25205407,251440,messenger,full_time,Fulltime,Norden,Densification,100,1400,,,,15,35,1
82103,23885904,18434,customer_support,full_time,Fulltime,Berlin,Large city,14,1400,,,,8,9,1
81985,18458773,521530,customer_support,full_time_part_time,Fulltime,Gera,Urban,14,1400,,,,6,38,1
82104,24814316,3775,sales_agent,full_time_part_time,Fulltime,Pforzheim,Large city,45,1400,,,,9,12,1
82127,25300460,3890,team_leader,full_time,Fulltime,Potsdam,Large city,151,1400,,,,12,11,1
82142,25300781,626101,inventory_manager,full_time,Fulltime,Bergkamen,Urban,16,1700,,,,12,37,1
82046,21687961,461782,designer,full_time,Fulltime,,Large city,281,1500,,,,5,19,1
82055,25299578,4668,sales_clerk,part_time,Parttime,Sindelfingen,Urban,2,900,,,,1,14,1
82062,25299644,4668,sales_clerk,part_time,Parttime,Öhringen,Densification,2,900,,,,0,31,1
82128,25300608,4668,sales_clerk,part_time,Parttime,Bad Griesbach,Densification,2,900,,,,9,35,1
82089,25299822,483876,marketing_manager,full_time,Fulltime,Calw,Urban,135,1500,,,,9,28,1
82122,17593477,4547,professional_driver,full_time_part_time,Fulltime,Osnabrück,Large city,166,1800,,,,12,28,1
82060,17900988,363740,professional_driver,full_time_part_time,Fulltime,Leipzig,Large city,166,1500,,,,0,19,1
82034,25298932,223830,installer,full_time,Fulltime,Villingen-Schwenningen,Urban,275,1500,,,,13,24,1
82047,21195066,223830,electrician,full_time,Fulltime,Kiel,Large city,80,1500,,,,9,35,1
82024,25260881,42457,mechanic,full_time_part_time,Fulltime,München,Large city,99,600,,,,5,26,1
82025,25260889,42457,mechanic,full_time_part_time,Fulltime,München,Large city,99,600,,,,1,14,1
81920,25260968,40128,professional_driver,full_time,Fulltime,Göttingen,Urban,166,600,,,,11,34,1
82054,25299559,517618,kitchen_assistant,full_time_part_time,Fulltime,Hamburg,Large city,5,700,,,,14,35,1
82116,25300291,631748,cleaner,part_time,Parttime,Husum,Rural,11,700,,,,8,25,1
81991,25290820,529248,kitchen_assistant,part_time,Parttime,Berlin,Large city,5,700,,,,2,27,1
82097,25197430,187432,sales_clerk,full_time,Fulltime,Elmshorn,Urban,2,400,,,,12,13,1
81990,25283768,4668,sales_clerk,part_time,Parttime,Manching,Densification,2,400,,,,9,38,1
82067,25299753,4668,sales_clerk,part_time,Parttime,Duderstadt,Urban,2,400,,,,13,34,1
82100,25299964,223977,cleaner,part_time,Parttime,Bielefeld,Large city,11,400,,,,1,9,1
81918,25260967,40128,mechatronics_engineer,full_time_part_time,Fulltime,Neumünster,Densification,279,400,,,,5,16,1
81919,25261559,40128,electrician,full_time_part_time,Fulltime,Neumünster,Densification,80,400,,,,4,33,1
82114,16585601,2737,service_person,full_time,Fulltime,Hameln,Densification,137,400,,,,10,13,1
81988,25283767,4668,sales_clerk,part_time,Parttime,Treuchtlingen,Rural,2,400,,,,11,21,1
82066,25299751,4668,sales_clerk,part_time,Parttime,Uslar,Rural,2,400,,,,7,7,1
82105,25299563,4668,sales_clerk,part_time,Parttime,Trier,Large city,2,400,,,,7,23,1
82093,25197425,187432,cashier,part_time,Parttime,Duderstadt,Urban,66,400,,,,12,17,1
82001,25296899,681547,clerk,full_time,Fulltime,Eschwege,Rural,67,1300,,,,14,25,1
82115,25299960,533561,sales_agent,full_time,Fulltime,Gengenbach,Urban,45,800,,,,13,15,1
82027,25297676,655308,sales_clerk,full_time,Fulltime,Bad Nauheim,Urban,2,800,,,,15,35,1
82032,23844917,640247,accountant,full_time_part_time,Fulltime,Attenkirchen,Urban,138,1300,,,,14,9,1
82008,25212831,683316,electrician,full_time,Fulltime,Gera,Urban,80,1000,,,,5,28,1
82010,25260882,683307,account_manager,full_time,Fulltime,,Large city,150,1500,,,,10,26,1
82029,24893336,673860,pedagogue,full_time_part_time,Fulltime,Niederzier,Urban,163,1000,,,,6,22,1
82041,25128168,678504,chef,full_time_part_time,Fulltime,Sankt Martin,Urban,3,1000,,,,8,32,1
82056,25299575,674814,installer,full_time,Fulltime,Hagen,Large city,275,1000,,,,9,14,1
82063,25297079,656213,caregiver,part_time,Parttime,Herne,Large city,129,1000,,,,15,39,1
82086,24980413,676351,mechatronics_engineer,full_time,Fulltime,Lichtenberg/Erzgebirge,Densification,279,1000,,,,1,37,1
73600,21181667,585875,electrician,full_time,Fulltime,Bassenheim,Urban,80,1000,,,,1,32,1
82109,25126592,678851,banker,full_time_part_time,Fulltime,Elmshorn,Rural,62,1000,,,,3,12,1
82131,25262310,680146,marketing_manager,full_time_part_time,Fulltime,Berlin,Large city,135,1000,,,,6,9,1
82136,24425692,594790,ux_designer,full_time_part_time,Fulltime,Leutkirch im Allgäu,Urban,156,1000,,,,5,11,1
81995,25212525,683476,caregiver,part_time,Parttime,Rosenheim,Urban,129,700,,,,9,36,1
82020,25126493,589260,accountant,part_time,Parttime,Ainring,Rural,138,700,,,,4,28,1
82017,23063020,641,software_developer,full_time,Fulltime,Berlin,Large city,142,350,,,,13,7,1
81756,24208438,134006,callcenter_agent,full_time_part_time,Fulltime,Berlin,Large city,64,800,,,,1,16,1
78902,14824312,298465,service_person,part_time,Parttime,Roth,Densification,137,800,,,,13,14,1
81697,21176274,4625,inventory_manager,full_time,Fulltime,Erfurt,Large city,16,800,,,,1,20,1
78909,24194599,456574,marketing_manager,full_time,Fulltime,Berlin,Large city,135,1000,,,,10,24,1
76505,22741226,313558,mechanic,full_time,Fulltime,Oberbettingen,Rural,99,1000,,,,14,28,1
76427,23110497,461782,clerk,full_time,Fulltime,Schmallenberg,Densification,67,1000,,,,7,18,1
81657,22813588,3405,callcenter_agent,part_time,Parttime,Schweinfurt,Densification,64,1100,,,,5,10,1
78746,24142644,483274,pedagogue,full_time_part_time,Fulltime,Lübeck,Large city,163,1300,,,,5,3,1
78995,24208890,211696,machine_operator,full_time,Fulltime,Brehna,Densification,267,1300,,,,13,3,1
78952,21178829,18462,machine_operator,full_time,Fulltime,Brilon,Densification,267,1300,,,,6,10,1
78956,21194632,18462,machine_operator,full_time,Fulltime,Brilon,Densification,267,1300,,,,3,12,1
78973,23816592,80463,mechanic,full_time,Fulltime,Brilon,Densification,99,1300,,,,8,6,1
81709,24144740,3128,inventory_manager,full_time,Fulltime,Mörsdorf,Densification,16,1400,,,,8,10,1
81655,22496697,3405,callcenter_agent,part_time,Parttime,München,Large city,64,1400,,,,15,25,1
78913,24194607,325488,sales,full_time,Fulltime,Dortmund,Large city,128,1800,,,,10,30,1
78826,24142645,656234,production_worker,full_time,Fulltime,Fulda,Densification,161,800,,,,4,31,1
78979,24207286,658899,sales_clerk,full_time,Fulltime,München,Large city,2,800,,,,0,15,1
78958,24102125,655537,draftsman,full_time,Fulltime,Hannover,Urban,323,1300,,,,0,24,1
81746,19291735,511383,inventory_manager,full_time,Fulltime,Würzburg,Large city,16,1100,,,,11,28,1
78791,21747291,600664,caregiver,part_time,Parttime,Hilden,Large city,129,1100,,,,0,18,1
78863,24142908,641598,logistics_manager,full_time,Fulltime,Hamburg,Large city,165,1500,,,,4,36,1
78783,24142632,453621,electrician,full_time,Fulltime,Kirchheim,Urban,80,1000,,,,12,13,1
78815,23431909,550035,real_estate_agent,full_time_part_time,Fulltime,München,Large city,113,1000,,,,10,39,1
81566,25123308,40130,train_driver,full_time,Fulltime,Mannheim,Large city,266,1500,,,,8,4,1
78875,24172683,621598,mechatronics_engineer,full_time,Fulltime,Wardenburg,Densification,279,1000,,,,0,17,1
78878,22786356,621598,electrician,full_time,Fulltime,Halle(Westfalen),Urban,80,1000,,,,8,33,1
78794,22854534,622176,customer_support,full_time_part_time,Fulltime,Neubrandenburg,Rural,14,1400,,,,10,8,1
81627,15692602,3775,callcenter_agent,full_time_part_time,Fulltime,Pforzheim,Large city,64,1400,,,,3,11,1
81851,18483953,202396,electrician,full_time,Fulltime,Nörten-Hardenberg,Rural,80,1300,,,,8,7,1
81618,4756,2773,mechanic,full_time,Fulltime,München-Flughafen,Urban,99,1300,,,,2,5,1
78873,24174162,3797,sales_agent,full_time_part_time,Fulltime,Berlin,Large city,45,1700,,,,9,31,1
78762,21282528,577552,messenger,full_time_part_time,Fulltime,Erding,Densification,100,800,,,,2,14,1
81700,23063213,626622,cleaner,part_time,Parttime,Osnabrück,Large city,11,800,,,,4,31,1
81705,24142571,414077,cleaner,full_time,Fulltime,Berlin,Large city,11,1600,,,,10,15,1
81854,1447699,3506,sales_clerk,full_time_part_time,Fulltime,Cottbus,Densification,2,800,,,,13,5,1
81887,40516,4307,inventory_manager,full_time_part_time,Fulltime,Hamburg,Large city,16,800,,,,4,39,1
78807,24172681,593776,inventory_manager,full_time,Fulltime,Duisburg,Large city,16,800,,,,10,18,1
78813,24172688,593776,inventory_manager,full_time,Fulltime,Hilden,Large city,16,800,,,,13,34,1
78817,24172684,593776,inventory_manager,full_time,Fulltime,Duisburg,Large city,16,800,,,,4,20,1
78819,24172685,593776,inventory_manager,full_time,Fulltime,Hilden,Large city,16,800,,,,10,20,1
76333,23085182,3294,customer_support,full_time,Fulltime,Coburg,Densification,14,800,,,,11,24,1
81567,24136172,212514,production_worker,full_time,Fulltime,Leer,Densification,161,800,,,,7,28,1
81747,18662661,3470,messenger,full_time,Fulltime,Geretsried,Rural,100,800,,,,1,17,1
81749,9493394,3470,messenger,full_time,Fulltime,Nagold,Urban,100,800,,,,10,31,1
78858,24142807,657083,mechanic,full_time,Fulltime,Polch,Urban,99,1000,,,,1,22,1
78781,23885831,645123,professional_driver,full_time,Fulltime,Berlin,Large city,166,1500,,,,10,13,1
78787,24152669,657097,waiter_waitress,full_time_part_time,Fulltime,Karlsruhe,Large city,7,700,,,,8,28,1
81936,13787634,1393,butcher,full_time,Fulltime,Amberg,Rural,164,600,,,,9,35,1
81848,21280260,587722,clerk,full_time,Fulltime,Albbruck,Densification,67,1000,,,,10,25,1
81884,21178369,4489,inventory_manager,full_time,Fulltime,Deggendorf,Rural,16,800,,,,15,37,1
79454,23838421,203536,inventory_manager,part_time,Parttime,Günzburg,Densification,16,1400,,,,9,4,1
81897,25260903,541202,industrial_clerk,full_time,Fulltime,Landau,Urban,91,1000,,,,10,37,1
81900,25260904,420765,security,full_time,Fulltime,Herzogenaurach,Urban,51,800,,,,6,13,1
81928,22883400,625967,inventory_manager,full_time,Fulltime,Hörselberg-Hainich,Rural,16,800,,,,12,39,1
78714,24142573,578635,sales_clerk,full_time,Fulltime,Lübeck,Large city,2,800,,,,1,20,1
81949,24908971,674891,sales_agent,full_time_part_time,Fulltime,Köln,Large city,45,1400,,,,11,20,1
81951,25262111,8821,inventory_manager,full_time_part_time,Fulltime,Egelsbach,Urban,16,800,,,,12,29,1
81953,25262297,4053,sales_clerk,full_time_part_time,Fulltime,Hamburg,Large city,2,800,,,,10,34,1
81958,25262370,1393,butcher,full_time,Fulltime,Donaueschingen,Urban,164,600,,,,14,14,1
81959,25262492,1393,butcher,full_time_part_time,Fulltime,Böblingen,Urban,164,600,,,,8,27,1
81960,25263320,105764,branch_manager,full_time_part_time,Fulltime,Ostseebad Binz,Rural,35,1600,,,,3,19,1
81962,25262678,105764,sales_clerk,part_time,Parttime,Waren,Rural,2,400,,,,10,10,1
81973,25263449,105764,butcher,full_time_part_time,Fulltime,Ostseebad Binz,Rural,164,1400,,,,1,15,1
81707,23063564,621446,inventory_manager,full_time,Fulltime,Gütersloh,Urban,16,1400,,,,14,27,1
81830,25212445,3683,callcenter_agent,full_time_part_time,Fulltime,Münster,Large city,64,1000,,,,4,14,1
81904,25260900,40128,train_dispatcher,full_time_part_time,Fulltime,Hamburg,Large city,265,1000,,,,8,18,1
81861,25128101,2819,mechatronics_engineer,full_time,Fulltime,Lehrte,Urban,279,1000,,,,1,30,1
81906,23844974,4105,insurance_salesman,part_time,Parttime,Kempten,Rural,92,1000,,,,10,38,1
81872,23845030,3506,sales_clerk,full_time_part_time,Fulltime,Burg,Densification,2,800,,,,7,12,1
81913,25261739,3453,sales_clerk,full_time_part_time,Fulltime,Sellin,Rural,2,800,,,,7,18,1
81935,25261779,3453,sales_clerk,full_time_part_time,Fulltime,Schwerin,Densification,2,800,,,,1,35,1
81902,26109,3592,inventory_manager,full_time_part_time,Fulltime,Würzburg,Large city,16,2200,,,,10,4,1
81977,17177515,4105,sales_clerk,full_time_part_time,Fulltime,Waltenhofen,Rural,2,1400,,,,13,33,1
81855,21148876,42470,callcenter_agent,full_time_part_time,Fulltime,Würzburg,Large city,64,1400,,,,13,26,1
81857,21148875,42470,customer_support,full_time_part_time,Fulltime,Würzburg,Large city,14,1400,,,,1,33,1
81892,21978580,2584,sales_clerk,full_time_part_time,Fulltime,Münster,Large city,2,800,,,,2,38,1
81905,25223789,2584,sales_clerk,full_time_part_time,Fulltime,Kempten,Rural,2,800,,,,12,29,1
81839,20261152,562639,sales_clerk,full_time_part_time,Fulltime,Berlin,Large city,2,1400,,,,15,16,1
81837,20261149,562639,sales_clerk,full_time_part_time,Fulltime,Hamburg,Large city,2,1400,,,,7,31,1
81783,25208871,42455,logistics_manager,full_time_part_time,Fulltime,Duisburg,Large city,165,600,,,,4,16,1
81933,10994540,1393,sales_clerk,full_time_part_time,Fulltime,Amberg,Rural,2,600,,,,11,25,1
81911,25255513,4105,clerk,full_time,Fulltime,Kempten,Rural,67,1301,,,,14,14,1
81877,21747681,583655,sales_agent,full_time_part_time,Fulltime,Magdeburg,Large city,45,1700,,,,8,39,1
78749,24144201,640255,installer,full_time,Fulltime,,Densification,275,1500,,,,6,40,1
81879,25260478,581269,business_analyst,full_time,Fulltime,,Large city,141,1500,,,,2,31,1
81957,25262342,3885,economist,full_time,Fulltime,,Large city,274,1500,,,,14,40,1
81859,10217316,42470,clerk,full_time_part_time,Fulltime,Würzburg,Large city,67,1500,,,,3,31,1
81623,20883043,2773,hr_manager,full_time,Fulltime,Hallbergmoos,Urban,146,1300,,,,7,10,1
81825,25241194,488282,company_technician,full_time,Fulltime,Hamburg,Large city,133,1300,,,,2,26,1
81828,25240724,488282,clerk,full_time,Fulltime,Hamburg,Large city,67,1300,,,,2,40,1
81833,21196168,584833,logistics_manager,full_time,Fulltime,Köln,Large city,165,1300,,,,12,11,1
81836,24394006,662643,company_technician,full_time,Fulltime,Bremen,Large city,133,1300,,,,15,11,1
81841,25167125,662157,construction_leader,full_time,Fulltime,Köln,Large city,269,1300,,,,9,39,1
81845,25210085,473918,cleaner,full_time_part_time,Fulltime,Berlin,Large city,11,1300,,,,10,27,1
81907,25059664,538098,caregiver,full_time_part_time,Fulltime,Korntal-Münchingen,Urban,129,1300,,,,1,12,1
81952,25261863,390403,installer,full_time,Fulltime,Singen,Urban,275,1300,,,,2,4,1
81963,25262994,105764,sales_clerk,full_time_part_time,Fulltime,Insel Poel,Densification,2,1300,,,,8,27,1
76264,22354534,550034,sales,full_time,Fulltime,Zwickau,Urban,128,1300,,,,11,32,1
81965,25263114,105764,sales_clerk,part_time,Parttime,Ostseebad Binz,Rural,2,1300,,,,5,33,1
81971,25262921,105764,sales_clerk,full_time_part_time,Fulltime,Insel Poel,Densification,2,1300,,,,4,19,1
81831,24102405,3131,callcenter_agent,full_time,Fulltime,Salzwedel,Densification,64,1300,,,,0,6,1
81829,25212435,3683,service_person,full_time_part_time,Fulltime,Köln,Large city,137,1100,,,,0,23,1
81883,25123304,598017,sales_clerk,full_time,Fulltime,Völklingen,Urban,2,1100,,,,5,17,1
81824,25252789,397544,sales_clerk,full_time_part_time,Fulltime,Moers,Urban,2,1100,,,,13,10,1
78739,21857782,603864,caregiver,part_time,Parttime,Mönchengladbach,Large city,129,1100,,,,15,8,1
81961,25263067,105764,sales_clerk,part_time,Parttime,Ostseebad Binz,Rural,2,900,,,,10,26,1
81968,25262808,105764,sales_clerk,part_time,Parttime,Heringsdorf,Rural,2,900,,,,7,12,1
81969,25262754,105764,sales_clerk,part_time,Parttime,Sassnitz,Rural,2,900,,,,13,25,1
81970,25262864,105764,sales_clerk,part_time,Parttime,Ludwigslust-Parchim,Rural,2,900,,,,3,31,1
81870,25126137,2819,clerk,part_time,Parttime,Lehrte,Urban,67,700,,,,9,37,1
81937,25261865,581269,accountant,full_time,Fulltime,München,Large city,138,700,,,,14,6,1
81924,14397373,49532,branch_manager,full_time,Fulltime,Griesheim,Urban,35,500,,,,11,10,1
81954,25262298,4053,sales_clerk,full_time_part_time,Fulltime,Hamburg,Large city,2,500,,,,15,37,1
81955,25262296,4053,sales_clerk,part_time,Parttime,Hamburg,Large city,2,500,,,,15,25,1
81956,25262295,105764,sales_clerk,part_time,Parttime,Köln,Large city,2,500,,,,5,9,1
81964,25263209,105764,sales_clerk,part_time,Parttime,Ostseebad Binz,Rural,2,500,,,,9,19,1
81967,25262712,105764,sales_clerk,part_time,Parttime,Sassnitz,Rural,2,500,,,,0,19,1
81917,8128158,49532,sales_clerk,part_time,Parttime,Ahrensburg,Urban,2,300,,,,7,37,1
81921,20583443,49532,sales_clerk,part_time,Parttime,Füssen,Densification,2,300,,,,2,31,1
81922,23141887,49532,sales_clerk,part_time,Parttime,Teltow,Densification,2,300,,,,5,7,1
81923,16760953,49532,sales_clerk,part_time,Parttime,Garmisch-Partenkirchen,Rural,2,300,,,,11,33,1
81925,16578698,49532,sales_clerk,part_time,Parttime,Berlin,Large city,2,300,,,,0,5,1
81926,25167019,49532,sales_clerk,part_time,Parttime,Leverkusen,Large city,2,300,,,,13,28,1
81927,20512347,49532,sales_clerk,part_time,Parttime,Köln,Large city,2,300,,,,1,23,1
81882,25260883,677298,sales_clerk,part_time,Parttime,Potsdam,Large city,2,800,,,,13,6,1
81899,25260894,630898,tourism,full_time,Fulltime,,Large city,130,1500,,,,15,37,1
81835,25218533,668767,restaurant_manager,full_time,Fulltime,Berlin,Large city,132,1000,,,,7,32,1
81943,25262024,683287,electrician,full_time,Fulltime,Hamburg,Large city,80,1300,,,,14,23,1
81827,24690761,596476,technician,full_time,Fulltime,Chemnitz,Large city,158,1000,,,,13,8,1
78662,23892077,644623,chef,full_time_part_time,Fulltime,Berlin,Large city,3,1000,,,,15,38,1
81849,24964901,673869,professional_driver,full_time,Fulltime,Dettelbach,Densification,166,1000,,,,13,27,1
81893,24722486,670718,office_assistant,full_time,Fulltime,Weiterstadt,Urban,53,1000,,,,13,6,1
81914,24327611,658913,paramedic,full_time_part_time,Fulltime,Berlin,Large city,107,1000,,,,12,7,1
81938,25163744,663566,controller,full_time_part_time,Fulltime,Rockenhausen,Densification,268,1000,,,,4,24,1
81945,25028862,672245,sales,full_time,Fulltime,Augsburg,Large city,128,1000,,,,11,22,1
81974,21887388,598898,medical_staff,full_time_part_time,Fulltime,Offenburg,Urban,171,1000,,,,5,17,1
81852,24396353,664044,clerk,full_time,Fulltime,Kenn,Densification,67,1000,,,,10,20,1
81822,24908963,677789,sales_clerk,full_time_part_time,Fulltime,München,Large city,2,1400,,,,10,3,1
78650,24066630,655540,caregiver,part_time,Parttime,Bremen,Large city,129,1100,,,,6,6,1
81940,24908973,674891,banker,full_time_part_time,Fulltime,Köln,Large city,62,1500,,,,15,21,1
81744,25207439,683642,callcenter_agent,full_time,Fulltime,Sarstedt,Urban,64,800,,,,12,37,1
78692,23838896,641523,clerk,full_time,Fulltime,Marienberg,Urban,67,800,,,,15,11,1
78702,24142342,643833,kitchen_assistant,part_time,Parttime,Berlin,Large city,5,400,,,,11,32,1
81909,25212778,683485,office_assistant,full_time,Fulltime,Mainburg,Densification,53,800,,,,12,31,1
81972,24205185,638280,economist,full_time,Fulltime,Berlin,Large city,274,800,,,,5,39,1
81934,23853606,641,graphic_designer,full_time,Fulltime,Berlin,Large city,89,1000,,,,3,30,1
